"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","13","Amazonas","2022","C Indústrias de transformação","1088","Unidades"
"UF","13","Amazonas","2022","10 Fabricação de produtos alimentícios","196","Unidades"
"UF","13","Amazonas","2022","20 Fabricação de produtos químicos","47","Unidades"
"UF","13","Amazonas","2022","24 Metalurgia","18","Unidades"
"UF","13","Amazonas","2022","29 Fabricação de veículos automotores, reboques e carrocerias","23","Unidades"
"UF","13","Amazonas","2023","Total","1239","Unidades"
"UF","13","Amazonas","2023","B Indústrias extrativas","16","Unidades"
"UF","13","Amazonas","2023","C Indústrias de transformação","1223","Unidades"
"UF","13","Amazonas","2023","10 Fabricação de produtos alimentícios","242","Unidades"
"UF","13","Amazonas","2023","20 Fabricação de produtos químicos","55","Unidades"
"UF","13","Amazonas","2023","24 Metalurgia","20","Unidades"
"UF","13","Amazonas","2023","29 Fabricação de veículos automotores, reboques e carrocerias","27","Unidades"
"UF","14","Roraima","2007","Total","88","Unidades"
"UF","14","Roraima","2007","B Indústrias extrativas","2","Unidades"
"UF","14","Roraima","2007","C Indústrias de transformação","86","Unidades"
"UF","14","Roraima","2007","10 Fabricação de produtos alimentícios","30","Unidades"
"UF","14","Roraima","2007","20 Fabricação de produtos químicos","1","Unidades"
"UF","14","Roraima","2007","24 Metalurgia","-","Unidades"
"UF","14","Roraima","2007","29 Fabricação de veículos automotores, reboques e carrocerias","1","Unidades"
"UF","14","Roraima","2008","Total","97","Unidades"
"UF","14","Roraima","2008","B Indústrias extrativas","3","Unidades"
"UF","14","Roraima","2008","C Indústrias de transformação","94","Unidades"
"UF","14","Roraima","2008","10 Fabricação de produtos alimentícios","35","Unidades"
"UF","14","Roraima","2008","20 Fabricação de produtos químicos","1","Unidades"
